Employee_No,Employee_Code,Name,Title,Gender,Religion_ID,Marital_Status,Designation_ID,Date_Joined,Date_Resigned,Status,Inactive_Date,Reporting_emp_1,Reporting_emp_2,Employment_Category,Employment_Type,Religion,Designation,Year_of_Birth,onTimeIN,onTimeOUT,Net Salary,Type_Full Day,Type_Half Day,apply_type_Anual,apply_type_Casual
989,75067,Katharina Kling,Mr.,Male,1,Married,31,2019-10-07,2020-12-31 00:00:00,Inactive,2020-12-31 00:00:00,\N,\N,Labour,Contarct Basis,Buddhist,Unskilled Labor,1997,,,,,,,
990,75069,Miss Makayla Weber IV,Mr.,Male,1,Single,31,2019-10-10,2020-12-30 00:00:00,Inactive,2020-12-30 00:00:00,\N,\N,Labour,Contarct Basis,Buddhist,Unskilled Labor,1995,,,,,,,
991,75178,Jarred D'Amore,Mr.,Male,1,Married,31,2019-11-01,2020-03-15 00:00:00,Inactive,2020-03-15 00:00:00,\N,\N,Labour,Contarct Basis,Buddhist,Unskilled Labor,1996,,,,,,,
992,4990,Erika Kihn,Mr.,Male,1,Married,31,2020-06-01,2022-03-12 00:00:00,Inactive,2022-03-12 00:00:00,\N,\N,Labour,Contarct Basis,Buddhist,Unskilled Labor,1970,140.0,128.0,42219.8,,,,
994,4991,Mr Jefferey Bernier,Mr.,Male,1,Married,31,2020-06-01,2021-07-23 00:00:00,Inactive,2021-07-23 00:00:00,\N,\N,Labour,Contarct Basis,Buddhist,Unskilled Labor,1985,43.0,74.0,55212.84,,,,
999,5037,Lily Fritsch,Mr.,Male,1,Married,1,2020-01-04,2022-02-28 00:00:00,Inactive,2022-02-28 00:00:00,\N,\N,Labour,Contarct Basis,Buddhist,Skilled Labor,1980,273.0,246.0,89707.552,,,,
1000,198002,Tamara Grant IV,Mr.,Male,1,Married,1,2020-01-04,2020-03-15 00:00:00,Inactive,2020-03-15 00:00:00,\N,\N,Labour,Contarct Basis,Buddhist,Skilled Labor,1971,,,,,,,
1002,5038,Ms Amanda Yost,Mr.,Male,1,Married,1,2020-01-16,2021-03-29 00:00:00,Inactive,2021-03-29 00:00:00,\N,\N,Labour,Contarct Basis,Buddhist,Skilled Labor,1988,21.0,13.0,59147.50666666668,,,,
1003,198005,Mollie Lemke MD,Mr.,Male,1,Married,31,2020-01-09,2020-03-12 00:00:00,Inactive,2020-03-12 00:00:00,\N,\N,Labour,Contarct Basis,Buddhist,Unskilled Labor,1977,,,,,,,
1006,4422,Melvin Schroeder,Mr.,Male,1,Married,37,2018-12-01,2021-03-15 00:00:00,Inactive,2021-03-15 00:00:00,\N,\N,Staff,Contarct Basis,Buddhist,Driver-Tractor,1974,6.0,5.0,,,,,
1007,198009,Maximus Luettgen,Mr.,Male,1,Married,31,2020-02-25,2020-03-15 00:00:00,Inactive,2020-03-15 00:00:00,\N,\N,Labour,Contarct Basis,Buddhist,Unskilled Labor,1988,,,,,,,
1008,5078,Caroline Williamson I,Mr.,Male,1,Married,31,2020-02-25,\N,Active,\N,\N,\N,Labour,Contarct Basis,Buddhist,Unskilled Labor,1969,615.0,597.0,72173.97,,,,
1009,198062,Jewel Lakin,Mr.,Male,1,Married,1,2020-02-18,2020-04-30 00:00:00,Inactive,2020-04-30 00:00:00,\N,\N,Labour,Contarct Basis,Buddhist,Skilled Labor,1974,,,43662.5,,,,
1010,198012,Nikki McLaughlin,Mr.,Male,1,Single,31,2020-02-19,2020-03-06 00:00:00,Inactive,2020-03-06 00:00:00,\N,\N,Labour,Contarct Basis,Buddhist,Unskilled Labor,2003,,,,,,,
1013,5079,Prof Brent Mills MD,Mr.,Male,1,Single,31,2020-03-04,2021-07-31 00:00:00,Inactive,2021-07-31 00:00:00,\N,\N,Labour,Contarct Basis,Buddhist,Unskilled Labor,1999,78.0,88.0,82872.43999999999,,,,
